
53	1	8	96	77	91	97	42	9	16	68	68	85	79	54	86	45	88	23	98	
23	64	73	75	83	34	30	57	47	89	75	27	87	79	92	78	71	86	84	28	
92	77	19	69	1	46	91	92	46	27	6	1	80	83	40	56	17	24	64	41	
19	19	4	41	96	40	19	42	4	31	97	28	82	64	22	1	82	24	15	51	
36	24	4	8	43	87	15	75	96	76	56	38	73	18	52	87	59	85	51	37	
12	59	80	59	88	11	99	56	70	21	95	40	54	79	27	51	42	64	35	96	
45	3	0	96	82	35	92	81	21	38	97	17	3	17	25	72	65	39	27	67	
95	62	85	11	21	91	17	90	86	84	91	37	31	69	13	99	60	89	74	98	
73	59	72	60	82	73	77	97	33	64	86	88	0	74	15	48	28	10	3	9	
15	38	8	56	39	2	46	40	72	72	33	19	68	96	42	53	35	92	51	63	
30	82	3	9	88	42	16	86	80	34	57	69	82	71	92	17	5	58	17	65	
22	17	89	27	34	65	45	12	63	9	55	77	5	37	20	32	57	73	33	65	
88	12	63	76	17	77	45	86	0	1	8	24	94	51	19	11	18	58	78	53	
51	25	14	65	81	21	87	7	46	79	60	83	25	65	96	92	81	95	38	25	
40	59	36	0	8	39	34	35	44	67	21	57	85	55	39	84	47	78	53	57	
71	41	19	74	34	55	33	20	99	22	56	2	58	12	41	33	1	40	2	42	
89	59	30	82	22	96	66	25	66	60	25	14	83	58	34	15	32	59	50	92	
69	17	61	43	62	92	90	32	51	46	23	38	17	56	48	18	99	34	27	2	
60	82	13	55	52	3	11	77	90	69	43	69	20	65	12	70	91	90	13	83	
39	66	90	64	3	56	12	4	86	52	59	32	13	90	51	38	77	51	36	29	


0	0	0	0	1	1	1	1	1	1	2	2	2	2	3	3	3	3	3	3	
4	4	4	4	5	5	6	7	8	8	8	8	8	9	9	9	9	10	11	11	
11	11	12	12	12	12	12	12	13	13	13	13	14	14	15	15	15	15	15	16	
16	17	17	17	17	17	17	17	17	17	17	18	18	18	19	19	19	19	19	19	
19	20	20	20	21	21	21	21	21	22	22	22	22	23	23	23	24	24	24	24	
25	25	25	25	25	25	27	27	27	27	27	27	28	28	28	29	30	30	30	31	
31	32	32	32	32	33	33	33	33	33	34	34	34	34	34	34	34	35	35	35	
35	36	36	36	37	37	37	38	38	38	38	38	38	39	39	39	39	39	40	40	
40	40	40	40	41	41	41	41	42	42	42	42	42	42	43	43	43	44	45	45	
45	45	46	46	46	46	46	47	47	48	48	50	51	51	51	51	51	51	51	51	
51	52	52	52	53	53	53	53	54	54	55	55	55	55	56	56	56	56	56	56	
56	57	57	57	57	57	58	58	58	58	59	59	59	59	59	59	59	59	60	60	
60	60	60	61	62	62	63	63	63	64	64	64	64	64	64	65	65	65	65	65	
65	65	66	66	66	67	67	68	68	68	69	69	69	69	69	69	70	70	71	71	
71	72	72	72	72	73	73	73	73	73	74	74	74	75	75	75	76	76	77	77	
77	77	77	77	77	78	78	78	79	79	79	79	80	80	80	81	81	81	82	82	
82	82	82	82	82	82	83	83	83	83	83	84	84	84	85	85	85	85	86	86	
86	86	86	86	86	87	87	87	87	88	88	88	88	88	89	89	89	89	90	90	
90	90	90	90	91	91	91	91	91	92	92	92	92	92	92	92	92	92	94	95	
95	95	96	96	96	96	96	96	96	96	97	97	97	97	98	98	99	99	99	99	
